,clusteringCoefficient_networkit,PageRank_networkit,betweennessInComm_toScale,lengthMean_rw,clusteringCoefficient_networkit_innov,PageRank_networkit_innov,betweennessInComm_toScale_innov,lengthMean_rw_innov,clusteringCoefficient_networkit_prop,PageRank_networkit_prop,betweennessInComm_toScale_prop,lengthMean_rw_prop,clusteringCoefficient_networkit_fix,PageRank_networkit_fix,betweennessInComm_toScale_fix,lengthMean_rw_fix,type,nb_users
lahilaa,0.079253862079949,2.213061699637508e-07,0.644927536231884,9.04975,0.1595278888254331,1.3092150808476092e-07,1.3623188405797102,7.4564,0.1066379103762281,1.560366113584125e-07,0.2753623188405797,8.1808,0.0738451136634698,2.554503544368541e-07,0.7463768115942029,9.21595,buzz,243
fragiliter,0.0761987541648558,1.5103992382002233e-07,0.2898550724637681,8.1071,0.1218867074500876,1.2099858631096273e-07,-0.0652173913043478,6.734349999999999,0.0726715846281063,1.45957581831439e-07,0.181159420289855,8.1831,0.0763778694594308,1.5893431682788658e-07,0.4057971014492754,7.968,buzz,303
posticher,0.0719938274711081,1.8942824320123997e-07,0.4130434782608696,8.790099999999999,0.1364185110663983,9.915037785460124e-08,-0.1159420289855072,3.5704,0.0715775050637435,1.8171938132167825e-07,0.3333333333333333,9.06785,0.0715350223546944,2.091990985633252e-07,0.4782608695652176,8.5841,buzz,772
ptddddddddddddddddr,0.0650664522797912,1.765811432595051e-07,0.4563449982325909,8.826,0.0628571428571428,1.1845050038189127e-07,0.0579710144927536,8.1369,0.070360347528842,1.4444544627863916e-07,0.1014492753623188,8.7498,0.0631221213184361,2.053391773469196e-07,0.6956521739130433,8.90765,buzz,1350
mvenere,0.0725634378011287,1.6465504294090358e-07,0.4102156238953695,8.241900000000001,0.0865945891071519,1.0950294780944177e-07,-0.1159420289855072,6.5542,0.074940381694603,1.337515172566933e-07,0.181159420289855,8.394549999999999,0.0717187899050405,1.8138383254951866e-07,0.5362318840579711,8.2407,buzz,585
20rt,0.0769230769230769,1.875928110633857e-07,0.7569917403277858,5.5273,0.0233663366336633,1.064678796019006e-07,-0.0993788819875776,5.3247,0.0696560257362039,2.2890323102353705e-07,0.8260869565217392,5.8964,0.0806962025316455,1.6920674838636304e-07,0.753623188405797,4.9916,change,353
ptaaaaain,0.0780820272623551,1.584024854620064e-07,0.3188405797101449,7.508900000000001,0.0314072327044025,1.1666100245465413e-07,2.668257334747261,4.33835,0.0881784266082374,1.44938983384661e-07,0.2028985507246377,7.8511,0.0737045474850352,1.653905658470528e-07,0.3985507246376811,7.4551,buzz,208
capucher,0.0705882352941176,1.48394458915127e-07,0.1739130434782609,9.047,0.1336032388663967,1.914475038470654e-07,-0.2608695652173913,8.4363,0.0781447345963474,1.1134394810827457e-07,0.0,8.8479,0.0689507831186244,1.763787331540569e-07,0.2971014492753623,9.16885,buzz,344
lacui,0.0628048981648376,1.938443382558964e-07,0.4347826086956524,9.1299,0.0778731841965042,1.0844469241552393e-07,-0.1159420289855072,5.7581,0.0652414669571531,1.5953414179337641e-07,0.1376811594202898,8.9576,0.0611503442149677,2.1785783768430774e-07,0.6231884057971014,9.2533,buzz,945
4v5,0.1415730337078651,1.3793070648971417e-07,0.7560975609756099,4.5568,0.1360634322248219,8.90862353916746e-08,0.3382820784729586,2.78345,0.1543504867728151,1.182710035505265e-07,0.1585365853658536,4.0177000000000005,0.1409507923269391,1.401691402168144e-07,0.902439024390244,4.5684,change,414
jgrail,0.0665916215527418,1.832796691574852e-07,0.3623188405797102,8.857,0.1063157894736842,1.779206880399861e-07,-0.0869565217391303,4.9056,0.0792754939813762,1.356290581139133e-07,-0.0144927536231884,8.7567,0.0639219934994582,2.163617659236925e-07,0.6086956521739132,8.9084,buzz,414
tekal,0.0763243223408556,1.8370199079489762e-07,0.2681159420289855,9.80175,0.0630884884074111,1.2322506290127448e-07,-0.181159420289855,7.19825,0.0807174185463658,1.5038346914891057e-07,0.181159420289855,9.3669,0.0735109211379306,1.9899367744453372e-07,0.3333333333333333,9.9471,buzz,204
jssui,0.0700505142768569,1.5825597557409492e-07,0.3478260869565218,8.76575,0.1040043290043289,1.3205085686577718e-07,0.1956521739130434,4.67435,0.0747474747474747,1.3341497976225925e-07,0.1884057971014492,8.7724,0.0689061798593446,1.68301741505237e-07,0.4492753623188405,8.8561,buzz,234
brechan,0.0774774774774774,1.5072633490088989e-07,0.2028985507246376,8.2867,0.1495798319327731,8.231806337132598e-08,0.2318840579710145,4.7954,0.0893730751802898,1.3645388698006656e-07,-0.0072463768115942,8.2275,0.0697276619443046,1.6708883177409154e-07,0.2391304347826087,8.48035,buzz,201
meeere,0.0761762509335324,1.5323911547434494e-07,0.3623188405797102,7.9086,0.0991284577491474,1.1712722080329909e-07,0.5144927536231885,5.33245,0.0799854679540388,1.29747927930193e-07,0.181159420289855,7.695349999999999,0.0739957716701902,1.6337395383198308e-07,0.4927536231884059,7.97,buzz,976
galerance,0.0699511903365924,1.5248379771864373e-07,0.3478260869565218,8.2236,0.0685543964232488,1.2564490388869556e-07,0.0869565217391304,6.1442,0.0722264035983727,1.362376096365128e-07,0.1304347826086956,8.1043,0.0686925434116445,1.676684934756067e-07,0.5362318840579711,8.2804,buzz,1159
mdrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,0.0688983478825481,1.7575776336135716e-07,0.5217391304347827,6.6169,0.146031746031746,8.67213619407385e-08,1.5652173913043477,4.3322,0.0865306122448979,1.25416255232245e-07,0.1014492753623188,7.2835,0.0652654867256637,1.9593662508896644e-07,0.6521739130434783,6.4404,buzz,550
toooooz,0.0669986033035176,1.577947405699938e-07,0.3985507246376811,8.237449999999999,0.048048048048048,8.69852267362499e-08,-0.1304347826086956,7.1469,0.0684483419589802,1.3655656090697748e-07,0.2028985507246376,8.0929,0.0672909908005624,1.7046953078851401e-07,0.4927536231884059,8.3334,buzz,206
jforce,0.058746393915552,2.315099337096853e-07,0.6811594202898551,7.5125,0.0662369551872314,1.1052846219619453e-07,0.0909090909090909,7.9186,0.0683719433719433,1.748973249585916e-07,0.3043478260869565,8.8579,0.0566980023501762,2.556164789264559e-07,0.8198757763975155,7.1747,change,2458
bhh,0.0771839671120246,1.5558142108441076e-07,0.3043478260869565,8.2111,0.1164788789067321,1.3331668551873017e-07,0.7971014492753622,3.06435,0.0814393939393939,1.2349078261850206e-07,0.0,8.0819,0.0751665196383295,1.650664786355156e-07,0.4057971014492754,8.3034,buzz,476
lahilaaaa,0.0665199853318665,2.2131944992600134e-07,0.6521739130434783,8.6204,0.1290097852069683,3.5970538945974215e-07,0.6551383399209487,6.39045,0.0954450006242834,1.606284990133689e-07,0.1521739130434783,7.31615,0.0624463256042203,2.595934593592542e-07,0.8550724637681161,8.824,buzz,305
hellaaaaa,0.0671542198259755,1.647467255741628e-07,0.4347826086956524,8.228850000000001,0.0903225806451612,1.9201500506527946e-07,1.115942028985507,3.8422,0.0674603174603174,1.3084704796128818e-07,0.1014492753623188,8.0268,0.0668685641702063,1.779378976855466e-07,0.7246376811594202,8.31735,buzz,290
